id;nombre_receta;categoria;tiempo_preparacion_min;dificultad;instrucciones;;;id_ingredientes;id_receta;ingredientes
;;;;189;Atún en lata, mayonesa, pan, lechuga, tomate;;;89;189;
;;;;190;Calabacín rallado, huevos, harina, cebolla, queso parmesano, sal, pimienta;;;90;190;
;;;;191;Banano maduro, harina, azúcar, huevos, mantequilla, bicarbonato de sodio;;;91;191;
;;;;192;Arroz, camarones, cebolla, pimientos, ajo, tomate, caldo de camarón;;;92;192;
;;;;193;Harina, mantequilla, azúcar, huevo, vainilla;;;93;193;
;;;;194;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;;;94;194;
;;;;195;Pechuga de pollo, tortillas de maíz, lechuga, tomate, crema agria, queso rallado, especias para tacos;;;95;195;
;;;;196;Banano, fresas, yogur, leche, miel;;;96;196;
;;;;197;Harina, huevo, leche, azúcar, polvo de hornear, arándanos, banano;;;97;197;
;;;;198;Arroz cocido, zanahoria, guisantes, cebolla, salsa de soya, huevo, aceite de sésamo;;;98;198;
;;;;199;Tomates, cebolla, ajo, caldo de pollo, crema de leche, albahaca fresca, sal, pimienta;;;99;199;
;;;;200;Harina, azúcar, huevos, leche, mantequilla, esencia de vainilla, polvo de hornear;;;100;200;
;;;;201;Masa para pizza, salsa de tomate, queso mozzarella, pepperoni, orégano;;;101;201;
;;;;202;Placas de lasaña, carne molida, salsa de tomate, queso ricotta, queso mozzarella, cebolla, ajo, orégano;;;102;202;
;;;;203;Pechuga de pollo, curry en polvo, cebolla, leche de coco, arroz basmati, cilantro fresco;;;103;203;
;;;;204;Tortillas de maíz, queso rallado, salsa para enchiladas, cebolla, cilantro, crema agria;;;104;204;
;;;;205;Macarrones, leche, mantequilla, harina, queso cheddar, sal, pimienta;;;105;205;
;;;;206;Masa de hojaldre, manzanas, canela, azúcar, mantequilla;;;106;206;
;;;;207;Fresas, banano, leche de almendras, miel, semillas de chía;;;107;207;
;;;;208;Pan de molde, huevos, leche, canela, azúcar, vainilla;;;108;208;
;;;;209;Pechuga de pollo, zanahoria, apio, fideos, caldo de pollo, sal, pimienta;;;109;209;
;;;;210;Carne molida, pan rallado, huevo, ajo, cebolla, salsa de tomate, spaghetti;;;110;210;
;;;;211;Arroz, leche, azúcar, canela en rama, cáscara de limón;;;111;211;
;;;;212;Papas, mantequilla, leche, sal, pimienta;;;112;212;
;;;;213;Huevos, papas, cebolla, aceite de oliva, sal;;;113;213;
;;;;214;Harina, levadura, azúcar, leche, mantequilla, canela, azúcar morena;;;114;214;
;;;;215;Lechuga romana, crutones, queso parmesano, aderezo César;;;115;215;
;;;;216;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;;;116;216;
;;;;217;Pechuga de pollo, jugo de naranja, salsa de soya, ajo, jengibre, maicena;;;117;217;
;;;;218;Mango, espinacas, yogur, leche de almendras;;;118;218;
;;;;219;Masa de pizza, salsa de tomate, mozzarella, albahaca fresca;;;119;219;
;;;;220;Harina, avena, azúcar morena, huevos, pasas, canela, mantequilla;;;120;220;
;;;;221;Filete de pescado blanco, tortillas de maíz, repollo, crema agria, salsa picante;;;121;221;
;;;;222;Brócoli, cebolla, ajo, caldo de pollo, crema de leche, sal, pimienta;;;122;222;
;;;;223;Carne molida, pan de hamburguesa, lechuga, tomate, cebolla, queso, salsa, pepinillos;;;123;223;
;;;;224;Fettuccine, crema de leche, queso parmesano, mantequilla, ajo, perejil;;;124;224;
;;;;225;Harina, azúcar, huevos, yogur, aceite, jugo y ralladura de limón, polvo de hornear;;;125;225;
;;;;226;Tomates, albahaca fresca, ajo, cebolla, caldo de vegetales, sal, pimienta;;;126;226;
;;;;227;Tortillas de harina, queso rallado, mantequilla;;;127;227;
;;;;228;Arroz Arborio, champiñones, cebolla, caldo de verduras, vino blanco, queso parmesano, mantequilla;;;128;228;
;;;;229;Harina, azúcar, huevos, leche, aceite, arándanos, polvo de hornear;;;129;229;
;;;;230;Pollo entero, romero, tomillo, ajo, limón, aceite de oliva, sal, pimienta;;;130;230;
;;;;231;Harina, huevos, leche, azúcar, mantequilla, Nutella, fresas, banano;;;131;231;
;;;;232;Garbanzos, tahini, ajo, jugo de limón, aceite de oliva, comino, sal;;;132;232;
;;;;233;Chuletas de cerdo, jugo de naranja, miel, salsa de soya, ajo, jengibre;;;133;233;
;;;;234;Galletas, mantequilla, queso crema, azúcar en polvo, crema batida, vainilla;;;134;234;
;;;;235;Papas, queso cheddar, brócoli, crema agria, tocino, sal, pimienta;;;135;235;
;;;;236;Moras, hojas de menta fresca, yogur griego, leche de almendras, miel;;;136;236;
;;;;237;Camarones, jugo de limón, cebolla morada, cilantro, tomate, jalapeño, sal;;;137;237;
;;;;238;Fideos de arroz, carne de res, brócoli, pimientos, cebolla, salsa de soya, ajo, jengibre;;;138;238;
;;;;239;Pechuga de pollo, champiñones, crema de leche, ajo, cebolla, perejil, sal, pimienta;;;139;239;
;;;;240;Harina, mantequilla, azúcar, huevos, chispas de chocolate, bicarbonato de sodio, sal;;;140;240;
;;;;241;Pan de molde, pechuga de pavo, tocino, lechuga, tomate, mayonesa, queso, aguacate;;;141;241;
;;;;242;Calabaza, cebolla, zanahoria, caldo de verduras, jengibre, crema de leche, sal, pimienta;;;142;242;
;;;;243;Pechuga de pollo, pimientos, cebolla, calabacín, salsa de soya, miel, jengibre;;;143;243;
;;;;244;Arroz, huevos, plátanos maduros, salsa de tomate, salchichas;;;144;244;
;;;;245;Crema de leche, leche, azúcar, yemas de huevo, vainilla;;;145;245;
;;;;246;Brócoli, caldo de pollo, cebolla, ajo, queso cheddar, crema de leche, sal, pimienta;;;146;246;
;;;;247;Pan integral, aguacate, sal, pimienta, hojuelas de chile;;;147;247;
;;;;248;Carne de res para estofado, zanahorias, papas, cebolla, caldo de res, vino tinto, especias;;;148;248;
;;;;249;Carne molida, berenjenas, papas, salsa de tomate, bechamel, queso rallado;;;149;249;
;;;;250;Polvo de proteína, leche, banano, espinacas;;;150;250;
;;;;251;Atún en lata, mayonesa, apio picado, cebolla picada, sal, pimienta;;;151;251;
;;;;252;Harina, mantequilla, azúcar, melaza, jengibre en polvo, canela, clavo de olor, bicarbonato;;;152;252;
;;;;253;Huevos, espinacas frescas, queso feta, sal, pimienta;;;153;253;
;;;;254;Tortillas de maíz, caldo de pollo, tomate, chile, aguacate, queso, crema;;;154;254;
;;;;255;Galletas Oreo, mantequilla, queso crema, azúcar, crema batida;;;155;255;
;;;;256;Pepino, tomate, cebolla morada, aceitunas, queso feta, aceite de oliva, orégano;;;156;256;
;;;;257;Pechuga de pollo, pimientos, cebolla, ajo, salsa de soya;;;157;257;
;;;;258;Bizcochos de soletilla, café espresso, mascarpone, huevos, azúcar, cacao en polvo;;;158;258;
;;;;259;Pasta corta, tomate cherry, pepino, cebolla roja, aceitunas, queso feta, aderezo italiano;;;159;259;
;;;;260;Arroz, pollo, arvejas, zanahoria, cebolla, ajo, pimiento, caldo de pollo;;;160;260;
;;;;261;Filetes de cerdo, pan rallado, huevo, harina, aceite;;;161;261;
;;;;262;Harina, huevo, leche, mantequilla derretida, azúcar, polvo de hornear;;;162;262;
;;;;263;Queso rallado, huevos, harina, leche, mantequilla, sal, pimienta;;;163;263;
;;;;264;Pan de centeno, tomate, aguacate, sal, pimienta, aceite de oliva;;;164;264;
;;;;265;Zanahorias, papas, apio, cebolla, caldo de verduras, sal, pimienta;;;165;265;
;;;;266;Carne molida, pan rallado, huevo, cebolla, ajo, salsa de tomate;;;166;266;
;;;;267;Pan viejo, leche, huevos, azúcar, vainilla, pasas, canela;;;167;267;
;;;;268;Huevos, mantequilla, sal, pimienta;;;168;268;
;;;;269;Bistec de res, cebolla, ajo, salsa de soya, jugo de limón;;;169;269;
;;;;270;Chocolate amargo, mantequilla, huevos, azúcar, cacao en polvo;;;170;270;
;;;;271;Cebollas, mantequilla, caldo de res, vino blanco, pan, queso Gruyere;;;171;271;
;;;;272;Pechuga de pollo, salsa teriyaki, ajo, jengibre, ajonjolí;;;172;272;
;;;;273;Harina, cacao en polvo, azúcar, huevos, leche, aceite, chispas de chocolate, polvo de hornear;;;173;273;
;;;;274;Filete de pescado blanco, jengibre, cebollín, salsa de soya, aceite de sésamo;;;174;274;
;;;;275;Puerros, papas, cebolla, caldo de pollo, crema de leche, sal, pimienta;;;175;275;
;;;;276;Pasta, albahaca fresca, piñones, ajo, queso parmesano, aceite de oliva;;;176;276;
;;;;277;Atún en lata, mayonesa, pan, lechuga, tomate;;;177;277;
;;;;278;Calabacín rallado, huevos, harina, cebolla, queso parmesano, sal, pimienta;;;178;278;
;;;;279;Banano maduro, harina, azúcar, huevos, mantequilla, bicarbonato de sodio;;;179;279;
;;;;280;Arroz, camarones, cebolla, pimientos, ajo, tomate, caldo de camarón;;;180;280;
;;;;281;Harina, mantequilla, azúcar, huevo, vainilla;;;181;281;
;;;;282;Quinoa, pepino, tomate cherry, pimiento rojo, cebolla morada, aceite de oliva, jugo de limón, sal, pimienta;;;182;282;
;;;;283;Filete de salmón, espárragos, aceite de oliva, ajo en polvo, sal, pimienta, rodajas de limón;;;183;283;
;;;;284;Spaghetti, huevo, queso Parmigiano, panceta, pimienta negra;;;184;284;
;;;;285;Mantequilla, azúcar, huevos, harina, cacao en polvo, sal;;;185;285;
;;;;286;Aguacates maduros, cebolla, tomate, cilantro, jugo de limón, sal;;;186;286;
;;;;287;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;;;187;287;
;;;;288;Pechuga de pollo, tortillas de maíz, lechuga, tomate, crema agria, queso rallado, especias para tacos;;;188;288;
;;;;289;Banano, fresas, yogur, leche, miel;;;189;289;
;;;;290;Harina, huevo, leche, azúcar, polvo de hornear, arándanos, banano;;;190;290;
;;;;291;Arroz cocido, zanahoria, guisantes, cebolla, salsa de soya, huevo, aceite de sésamo;;;191;291;
;;;;292;Tomates, cebolla, ajo, caldo de pollo, crema de leche, albahaca fresca, sal, pimienta;;;192;292;
;;;;293;Harina, azúcar, huevos, leche, mantequilla, esencia de vainilla, polvo de hornear;;;193;293;
;;;;294;Masa para pizza, salsa de tomate, queso mozzarella, pepperoni, orégano;;;194;294;
;;;;295;Placas de lasaña, carne molida, salsa de tomate, queso ricotta, queso mozzarella, cebolla, ajo, orégano;;;195;295;
;;;;296;Pechuga de pollo, curry en polvo, cebolla, leche de coco, arroz basmati, cilantro fresco;;;196;296;
;;;;297;Tortillas de maíz, queso rallado, salsa para enchiladas, cebolla, cilantro, crema agria;;;197;297;
;;;;298;Macarrones, leche, mantequilla, harina, queso cheddar, sal, pimienta;;;198;298;
;;;;299;Masa de hojaldre, manzanas, canela, azúcar, mantequilla;;;199;299;
;;;;300;Fresas, banano, leche de almendras, miel, semillas de chía;;;200;300;
